gene,mean_expression
NDUFB9,0.46549478
TBCA,0.46414262
ST13,0.46301582
AURKAIP1,0.46241486
PTGES3,0.46088743
ALKBH7,0.46066207
MAZ,0.46041167
USP22,0.46023637
HP1BP3,0.4595102
COL18A1,0.4594351
CCNI,0.45923477
TM9SF3,0.45910957
QARS,0.45835838
OLFML3,0.45735678
S100A14,0.45648035
FBXW5,0.45597956
HES4,0.45595452
CTDSP1,0.4551783
CYCS,0.4550531
GPX2,0.4549279
ECH1,0.45390123
SELENOM,0.45332533
CD177,0.451873
OAF,0.45177284
SQSTM1,0.4496945
LLGL2,0.44954428
PPP1R14B,0.44944412
VCL,0.44921875
MAT2A,0.44896835
MRPL41,0.44889322
ARPC2,0.44829226
LAMA4,0.44819212
TPM3,0.44789162
LAMB2,0.44741586
SARAF,0.4471154
IP6K2,0.44704026
ILK,0.4461138
TECR,0.44548777
GIPC1,0.4447616
TMED10,0.44383514
OS9,0.4434345
CTGF,0.44298378
MLF2,0.44278345
ALDH1A1,0.4427584
SSBP4,0.44260818
SDCBP2,0.44243288
SPINT1,0.44235778
MORF4L2,0.4421324
HMGB2,0.44180688
CCL21,0.44090545
VAMP8,0.44052985
PGRMC1,0.44050482
CEACAM6,0.44012922
FIS1,0.43970352
ZYX,0.43885216
SRSF7,0.43795073
KLF6,0.43780047
NME4,0.43777543
VCP,0.43747497
CLTB,0.4369992
SEPT9,0.43374398
RNASE1,0.43349358
OAT,0.43344352
SRSF11,0.43329328
IGFBP3,0.43271735
RPN2,0.43269232
PTPRF,0.43269232
HNRNPA0,0.43246695
UBA1,0.43231672
GOLM1,0.4321164
MYO1A,0.43141526
CTTN,0.4299379
VIL1,0.42988783
C4orf3,0.42976263
PRPF8,0.42961237
ZNHIT1,0.4295623
ADGRA2,0.42923677
NCL,0.4291867
KRT10,0.4290615
NR2F6,0.42883614
SNRPG,0.42861077
SF1,0.42795974
NDUFA2,0.42785957
PDLIM7,0.4270082
AOC1,0.42690805
EIF3H,0.42603165
HSPD1,0.42548078
KLF5,0.4230018
NDUFA6,0.42290163
APOE,0.42285156
SF3B5,0.42282653
NDUFS8,0.42252603
SCAND1,0.42247596
MALL,0.42235076
H1F0,0.4220002
SFN,0.4206981
NOP10,0.4201222
APOB,0.41959634
NME3,0.41924578
AP2S1,0.41924578
SAP18,0.41912058
SPON2,0.41801882
ATOX1,0.41791868
BCAP31,0.41701722
C19orf53,0.41701722
NDUFS7,0.41604066
TTC3,0.41589043
CAPZB,0.41558996
CYB5R3,0.41538963
RTL8C,0.41521433
GSTK1,0.41491386
DPYSL3,0.4128856
PSMB3,0.41220954
PET100,0.41160858
PLEC,0.41128305
ACTN1,0.41103265
ERGIC3,0.410632
CLK1,0.41030648
S100A16,0.40995592
LAMC1,0.40990585
MLEC,0.40938002
HNRNPAB,0.40920472
C6orf48,0.40912962
FDPS,0.40910456
SF3B6,0.40847856
VDAC2,0.40815306
SOX4,0.40795273
SRP9,0.40790266
DAZAP2,0.40770233
TIA1,0.4070012
CTDSP2,0.40464744
PNKD,0.40404648
JPT1,0.40402144
C4orf48,0.4034455
TMEM45B,0.40342048
PARM1,0.4031951
DST,0.4029447
YWHAB,0.40279448
CDK5RAP3,0.40234375
CDKN1C,0.40219352
RAP1B,0.40179285
LTBP3,0.4014924
PSME2,0.40144232
PRMT1,0.4013672
SPG7,0.40131712
SERINC2,0.40106672
GLG1,0.40079126
HMGCS2,0.40041566
INF2,0.39978966
ARPC5,0.39963943
GANAB,0.39941406
CA2,0.39933893
MYDGF,0.3992388
GNAI2,0.39921373
RAB11A,0.3984375
ERBB3,0.39826223
SAT2,0.39766127
SNRPB,0.3965595
C19orf70,0.39603364
ETFB,0.3958834
GHITM,0.39585838
RNPS1,0.39530748
MAF,0.39510718
RPS4Y1,0.39503205
ATP5PD,0.39478165
PSMD8,0.39470652
TGFB1I1,0.39453125
EID1,0.39415565
AUP1,0.39413062
COPE,0.39408052
GPA33,0.39395532
MCL1,0.39372995
FAM96B,0.3936799
EIF4H,0.39337942
ZFAND5,0.3930539
ARPC4,0.39252806
SNRNP200,0.39245293
ITLN1,0.39240286
RAB1A,0.39220253
MDH2,0.3920022
ARID3A,0.39195213
KCTD12,0.39170173
ACAA2,0.39170173
UQCRFS1,0.39107573
GADD45GIP1,0.39044973
RABL6,0.39027444
GNA11,0.3899489
MT-ND4L,0.3898237
CSNK2B,0.38972357
UGP2,0.38927284
ATP5PB,0.38927284
DYNLRB1,0.38914764
UCHL1,0.38877204
PLXNB1,0.38859674
SLC25A1,0.38829628
AKAP12,0.38817108
MS4A12,0.38691908
SCARB2,0.38661858
CAP1,0.38634315
TMPRSS2,0.3858674
LAMTOR5,0.38571715
NASP,0.38556692
WDR6,0.38539162
ILF2,0.3836889
BAG6,0.38291267
GLUL,0.38263723
ATP5F1C,0.38248697
NDUFV2,0.38141027
CHD3,0.38136017
SNU13,0.37945715
PRAC1,0.37935698
CDH1,0.37895632
TUBB2B,0.37848058
ANXA4,0.37838042
PYGB,0.3770533
ARF4,0.3763021
FLNC,0.37615183
HMGN3,0.37552583
ETS2,0.37540063
PLAT,0.37502503
PHB,0.37492487
MYO1C,0.37464944
H2AFY,0.37434897
IDH2,0.3739984
PTP4A1,0.37367287
NDUFA10,0.3734976
NDUFC1,0.3731971
AGRN,0.37317207
ANKRD10,0.37304688
CSNK1A1,0.37229568
KLF4,0.37222055
POMP,0.37217048
SON,0.3720703
LMAN2,0.37149438
OGA,0.37121895
RER1,0.37111878
TCF25,0.37109375
DYNC1H1,0.37091848
